@relation EM

@attribute 'prob to be in cluster 1' numeric
@attribute 'prob to be in cluster 2' numeric
@attribute diagnosis {TRUE,FALSE}

@data
0,1,TRUE
0,1,TRUE
0,1,TRUE
0,1,TRUE
0,1,TRUE
0,1,TRUE
0,1,TRUE
0,1,TRUE
0,1,TRUE
0,1,TRUE
0.975369,0.024631,TRUE
0,1,TRUE
0,1,TRUE
0.002571,0.997429,TRUE
0,1,TRUE
0,1,TRUE
0.00031,0.99969,TRUE
0,1,TRUE
0,1,TRUE
1,0,FALSE
1,0,FALSE
1,0,FALSE
0,1,TRUE
0,1,TRUE
0,1,TRUE
0,1,TRUE
0,1,TRUE
0,1,TRUE
0,1,TRUE
0,1,TRUE
0,1,TRUE
0,1,TRUE
0,1,TRUE
0,1,TRUE
0,1,TRUE
0,1,TRUE
0,1,TRUE
1,0,FALSE
0,1,TRUE
0.000004,0.999996,TRUE
1,0,TRUE
0.991243,0.008757,TRUE
0,1,TRUE
0.000033,0.999967,TRUE
0.976028,0.023972,TRUE
0,1,TRUE
1,0,FALSE
0,1,TRUE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
0,1,TRUE
0.999844,0.000156,TRUE
1,0,FALSE
0,1,TRUE
0,1,TRUE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
0,1,TRUE
1,0,FALSE
0,1,TRUE
0,1,TRUE
1,0,FALSE
1,0,FALSE
0,1,FALSE
1,0,FALSE
0,1,TRUE
0,1,FALSE
0,1,TRUE
0.999841,0.000159,TRUE
1,0,FALSE
0,1,TRUE
1,0,FALSE
0,1,TRUE
0,1,TRUE
1,0,FALSE
1,0,FALSE
0,1,FALSE
0,1,TRUE
0,1,TRUE
1,0,FALSE
0,1,TRUE
0.00905,0.99095,TRUE
0,1,TRUE
1,0,FALSE
0.000003,0.999997,FALSE
1,0,FALSE
0.022804,0.977196,TRUE
1,0,FALSE
1,0,FALSE
0,1,TRUE
0,1,TRUE
1,0,FALSE
1,0,FALSE
1,0,FALSE
0.451852,0.548148,TRUE
0.999815,0.000185,TRUE
1,0,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
0,1,TRUE
1,0,FALSE
1,0,FALSE
0,1,TRUE
1,0,FALSE
1,0,FALSE
0.999441,0.000559,FALSE
0,1,FALSE
1,0,FALSE
1,0,FALSE
1,0,FALSE
0.007448,0.992552,FALSE
0,1,TRUE
0,1,TRUE
0,1,TRUE
1,0,FALSE
0,1,TRUE
0,1,TRUE
1,0,FALSE
1,0,FALSE
