@relation breast-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-N10-R42-DSparse1_clustered

@attribute Instance_number numeric
@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute class numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7}

@data
0,-7.546757,-8.465196,-3.635391,-1626.238493,4.905257,-14.624153,6.569059,-9.044741,-2.975922,14.766268,1,cluster5
1,-9.292075,917.735128,909.366251,-1885.44131,-0.15518,-915.144916,922.753272,-2.484554,-6.892069,-8.255347,1,cluster5
2,-10.825899,401.369767,409.998091,-16245.941839,5.938587,-430.696562,415.405771,-1.836634,-1.019278,25.070197,1,cluster5
3,-28.979479,72.012811,109.311376,-22657.132584,16.551956,-119.211429,98.502724,-22.072317,-19.962394,39.240047,1,cluster3
4,19.775793,-12.007735,-10.429418,-23985.548887,-2.044185,-29.001276,3.386884,23.066577,20.683442,-16.778719,1,cluster5
5,-1.283424,-28.695885,0.989032,-23987.298421,6.834297,-38.837783,3.848086,3.300194,7.93298,8.19202,1,cluster5
6,-0.186672,-24.685457,-2.078616,-24008.283357,5.443664,-39.11917,1.76769,1.501802,4.196354,8.07402,1,cluster5
7,4.213028,-26.611773,-3.206139,-24029.681596,4.688894,-35.84625,2.561403,9.063088,11.510009,1.444551,1,cluster5
8,3.227824,-21.337285,-2.949703,-24046.492903,4.148299,-36.782059,4.259883,7.032122,10.33293,1.041789,1,cluster5
9,-3.397052,-16.778908,3.066001,-24307.826512,5.09404,-23.057836,-2.569731,-9.26418,-11.150967,8.378922,1,cluster5
10,-3.600618,-22.002278,5.572126,-24447.384331,6.205256,-23.667166,-0.023403,-6.040264,-6.149662,7.263359,1,cluster5
11,1.895834,-19.918166,1.376955,-24614.475164,4.059853,-20.675632,-1.310086,-0.27737,-2.572633,0.51589,1,cluster5
12,-7.06982,-17.420041,4.769326,-24961.978444,4.042583,-24.041624,4.245218,-6.520321,-4.450902,17.599802,1,cluster5
13,-8.246709,-21.385668,7.45858,-25444.727421,4.94709,-23.888861,6.767706,-4.290953,-0.85227,17.929768,1,cluster5
14,6.242094,-20.411867,-7.796965,-25648.825973,6.51013,-38.562748,3.002794,7.196506,7.507986,-3.406576,1,cluster5
15,-8.998656,-29.822905,-2.403372,-26178.112519,10.648357,-42.109496,5.320926,-1.264584,3.585613,18.82941,1,cluster5
16,-5.509394,-29.733902,0.495448,-26196.546214,7.703328,-41.252449,2.108262,-2.505461,2.213736,13.319561,1,cluster5
17,-7.775829,-22.869975,5.146002,-26292.599904,7.296255,-26.00299,-1.684276,-11.696935,-11.615467,12.712972,1,cluster5
18,-8.719774,-21.827352,5.640066,-26496.089369,7.353703,-25.191115,-2.229158,-13.271444,-13.133586,13.624463,1,cluster5
19,-12.407848,-22.260022,7.023728,-26714.909231,6.034702,-26.227519,5.103592,-9.944187,-6.314287,23.388643,1,cluster5
20,-12.392542,-22.468486,7.34339,-27049.782354,6.302246,-26.174903,4.585791,-10.527584,-6.433521,22.845343,1,cluster5
21,-25.173983,-33.853533,4.241863,-27148.461255,13.75576,-25.363989,-1.857443,-18.578346,-16.784874,31.940054,1,cluster5
22,-7.088797,-27.17611,-2.146864,-27307.896419,9.975546,-43.537778,8.957529,-0.715637,6.232427,21.555168,1,cluster5
23,-7.162081,-27.335775,-2.200353,-27328.971207,9.758998,-43.612084,8.883766,-0.870122,5.972926,21.21827,1,cluster5
24,-1.48531,3114.454252,3097.251631,-27780.587914,-2.52575,-3152.832907,3129.492082,-7.832046,-13.006069,35.328457,1,cluster2
25,-26.393684,-50.26048,10.285635,-33523.03998,22.34002,-50.605992,-8.776142,-34.011339,-23.853273,56.19807,1,cluster3
26,6.276325,-21.011955,-2.110117,-33598.600421,4.141454,-35.622655,3.618827,8.617665,10.969473,1.320027,1,cluster5
27,-29.604064,-42.353931,15.430252,-33687.483172,21.990396,-34.544658,-13.113562,-44.777321,-39.200594,56.502972,1,cluster3
28,-27.945368,-48.763254,7.70322,-35024.8888,23.929809,-52.479753,-3.684214,-32.52862,-21.24283,62.204148,1,cluster3
29,9.290595,-20.086538,-6.957379,-35074.493782,6.503285,-37.403344,2.361737,8.782049,8.14453,-3.128338,1,cluster5
30,-22.853356,-30.784911,1.943509,-36237.314517,15.287838,-25.584024,-1.166025,-19.593645,-13.467585,37.589761,1,cluster5
31,-21.627206,22.633328,52.06271,-36249.33379,16.587046,-79.06816,51.783541,-19.287547,-14.210686,37.392193,1,cluster5
32,-10.241478,283.97848,306.852375,-36985.809179,7.205353,-332.928323,304.567032,-0.673857,1.081852,26.039257,1,cluster5
33,-23.565399,-47.672614,5.554689,-37436.759653,24.701671,-53.325151,-6.424757,-33.089405,-24.312946,55.451553,1,cluster3
34,-29.862303,-39.850404,15.675725,-38603.50407,22.308287,-35.91437,-7.887673,-43.860847,-35.618877,61.996818,1,cluster3
35,-28.261224,-46.271801,7.816707,-39060.858755,23.615264,-53.922202,1.919038,-31.176387,-17.733083,67.805226,1,cluster3
36,-23.88352,-45.18009,5.66958,-40774.711988,24.387671,-54.767144,-0.820983,-31.737725,-20.803809,61.05114,1,cluster3
37,-24.006758,-44.354224,5.662636,-40949.113216,24.071709,-55.272459,1.172267,-31.141421,-19.657545,62.954736,1,cluster3
