@relation csv_result-credit_edit20_clustered

@attribute Instance_number numeric
@attribute id numeric
@attribute source_0 numeric
@attribute source_1 numeric
@attribute source_2 numeric
@attribute source_3 numeric
@attribute source_4 numeric
@attribute source_5 numeric
@attribute source_6 numeric
@attribute source_7 numeric
@attribute source_8 numeric
@attribute source_9 numeric
@attribute source_10 numeric
@attribute source_11 numeric
@attribute source_12 numeric
@attribute source_13 numeric
@attribute source_14 numeric
@attribute source_15 numeric
@attribute source_16 numeric
@attribute source_17 numeric
@attribute source_18 numeric
@attribute source_19 numeric
@attribute class {0,1}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13}

@data
0,1,-0.00654,0.015961,-0.001912,-0.011113,0.023125,0.018306,0.029525,0.012179,0.025326,0.01955,0.032115,0.02197,0.007228,0.004803,0.003232,-0.003182,0.030809,-0.052883,-0.017249,0.046496,1,cluster8
1,2,-0.008959,-0.014505,-0.041238,-0.046568,0.043746,-0.048737,0.049967,-0.01995,-0.011225,0.026591,0.001208,-0.010082,-0.079084,0.019197,-0.020406,0.033217,-0.008995,-0.054429,0.011141,0.055823,1,cluster1
2,3,-0.024767,-0.049369,0.032275,0.002422,0.027395,0.056829,-0.027192,0.002262,-0.025804,0.043012,-0.032343,-0.025017,-0.028758,0.046068,-0.004214,-0.02823,-0.004585,0.013843,-0.044203,-0.023767,1,cluster4
3,4,-0.005923,-0.028396,0.016737,-0.021582,0.019011,-0.022265,0.008956,-0.041701,-0.028494,0.035826,-0.018736,-0.036321,-0.028138,0.040758,-0.01807,-0.033255,0.017952,0.059833,-0.038687,0.002653,1,cluster4
4,5,-0.007765,-0.012215,0.00835,-0.02847,0.013826,0.003694,0.01373,0.042044,-0.040098,0.01781,-0.028728,-0.047409,-0.029531,-0.007209,-0.05946,-0.040856,0.009532,0.020222,0.01279,0.018195,1,cluster4
5,6,-0.022862,0.003691,-0.028069,-0.005491,0.013006,0.010567,-0.009912,0.023599,0.023026,0.040298,-0.032715,-0.049011,0.001847,-0.004396,-0.034644,-0.041428,0.011789,-0.014547,0.003444,0.052756,1,cluster4
6,7,-0.002195,0.034598,-0.015718,0.002246,0.027588,-0.003201,-0.000346,0.035205,-0.020585,0.026214,-0.025852,-0.01799,0.00732,-0.010611,-0.050916,-0.02089,0.018813,-0.001199,0.002666,0.039738,1,cluster4
7,8,-0.016605,-0.008538,-0.010915,-0.007166,0.003032,0.01125,0.002143,0.045175,0.016949,0.039343,-0.02572,-0.049897,-0.018521,-0.005293,-0.047607,-0.047401,0.002642,0.012987,0.012934,0.034681,1,cluster4
8,9,0.003458,0.034387,-0.026793,-0.003191,0.025267,0.009793,0.000237,0.035677,-0.006773,0.023885,-0.03581,-0.017114,0.018591,-0.008769,-0.043451,-0.021245,0.027869,-0.018155,-0.012212,0.045119,1,cluster4
9,10,0.018861,-0.035508,0.031565,0.054547,0.029882,-0.031527,0.054134,-0.032091,0.008307,-0.052819,-0.045928,0.050092,-0.019382,0.006607,-0.007543,-0.00226,0.05479,-0.037709,0.034778,0.000718,1,cluster5
10,11,-0.000262,-0.06751,0.016469,0.04687,0.010571,-0.02003,0.046832,-0.044459,0.052669,-0.034945,-0.05627,0.017685,-0.026326,0.01,0.007394,-0.022277,0.048957,-0.051982,0.035911,0.014157,1,cluster5
11,12,0.006053,-0.079696,0.033601,0.045205,0.000578,-0.019343,0.05887,-0.022847,0.046553,-0.035945,-0.049336,0.016751,-0.04668,0.009018,-0.005579,-0.028243,0.039773,-0.024386,0.045387,-0.003894,1,cluster5
