@relation 'credit_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A-1-M-1'

@attribute '-0.279v10-0.271v17-0.271v12-0.269v16-0.268v3-0.262v7-0.257v18-0.254v9+0.251v11+0.251v4-0.245v5+0.243v2-0.24v1-0.234v14-0.15v6+0.142v19+0.098v20-0.083attribute_0-0.083time+0.054v8-0.038v15+0.034v22+0.029v13-0.028v28+0.026v26-0.014v27+0.01 v25-0.008amount+0.004v23+0.002v21-0.001v24' numeric
@attribute '-0.407v27-0.389v21+0.373v22+0.268v20-0.23v28+0.221attribute_0+0.22 time-0.209v8-0.197v25-0.192v15+0.186v14+0.159v6-0.145v11-0.141v7+0.134v23-0.108v26-0.102v1-0.099v9-0.088v5+0.085v24-0.083v10-0.074v13+0.072v12+0.071v16+0.065v2-0.064v19-0.064v3+0.043v17+0.015v18+0.005amount-0.001v4' numeric
@attribute '0.463v8-0.385v23-0.364v21+0.282v22+0.268v13-0.231v6-0.227attribute_0-0.224v28-0.223time-0.163v2+0.153v24+0.15 v15+0.115v14+0.112v19+0.108amount+0.106v20+0.104v7-0.059v4-0.054v5-0.05v11+0.045v3+0.036v10+0.034v12-0.034v18+0.027v1-0.026v26-0.024v17+0.013v9+0.013v16+0.008v27-0.002v25' numeric
@attribute 0.504attribute_0+0.504time-0.225v25-0.215v6-0.209v14+0.198v1+0.197v5-0.182v23-0.172v2+0.166v19+0.163v8+0.154v22+0.142v27+0.138v7-0.125v12+0.116v26+0.113v11+0.094v4-0.093v16-0.092v24+0.089v28-0.074v17+0.061amount-0.049v9-0.041v21-0.038v13+0.032v3-0.025v20-0.025v10-0.016v15-0.015v18 numeric
@attribute '0.407v19+0.368v24-0.335v25-0.303v20+0.276v21+0.242v15-0.225v26-0.204v18+0.165v6-0.16v16-0.157v17-0.146v27-0.143v4+0.141amount+0.13 v14-0.126v28-0.123v5+0.118v13-0.113v11-0.113v22+0.103v9+0.081time+0.08 attribute_0-0.063v2-0.059v1-0.056v8+0.052v3-0.044v7+0.031v12+0.028v10+0.021v23' numeric
@attribute '-0.315v26+0.298v25-0.291v6+0.285v8-0.265amount+0.26 time+0.254attribute_0-0.234v22-0.225v15-0.19v1-0.189v3+0.186v2-0.184v20-0.172v19-0.163v23+0.158v24-0.147v5-0.13v11+0.125v13+0.102v16+0.101v12+0.085v21-0.084v27-0.082v4+0.077v14-0.075v7+0.052v17+0.048v9+0.048v18-0.033v28+0.032v10' numeric
@attribute '0.765amount+0.268v20-0.257v26-0.224v23-0.215v22+0.161v27-0.151v5-0.145v1-0.14v19-0.13v24-0.12v3-0.114v13-0.111v15+0.073v6+0.07 v21-0.061v2+0.06 v12+0.06 v28+0.053time+0.047v9+0.047attribute_0+0.043v14+0.026v18+0.026v16-0.023v25+0.02 v17-0.019v11-0.019v7-0.011v10+0.008v4+0.005v8' numeric
@attribute '-0.573v28-0.368v24-0.368v20+0.291v13-0.289v15-0.238v25-0.206v23-0.168v19+0.152v26-0.122v22-0.106v8+0.102v4+0.091v21+0.08 v11-0.08v27+0.072v5+0.068v6+0.048amount-0.046time-0.043v12-0.043v2+0.042v17-0.041attribute_0+0.032v16-0.025v9-0.023v14-0.021v10+0.019v18-0.018v3-0.016v7-0.016v1' numeric
@attribute '0.582v13+0.385v23+0.339v26+0.308v25+0.217v19+0.18 v6+0.171v20+0.164time+0.159attribute_0-0.156v5+0.153amount-0.152v24+0.125v8+0.114v27+0.093v12-0.087v11+0.085v14-0.062v3-0.056v4-0.056v1+0.049v10+0.048v21-0.039v28+0.032v7+0.023v16-0.021v9+0.017v15+0.015v2-0.014v17+0.001v22+0    v18' numeric
@attribute '0.518v15-0.481v13+0.403v26-0.332v28-0.212v1+0.151v25-0.141v3-0.13v20-0.127v5+0.107v12+0.105time+0.097v16+0.093attribute_0+0.092v8+0.089v17-0.087v11-0.085v24+0.074amount-0.066v22-0.064v27+0.061v18+0.059v2-0.057v23-0.051v6-0.049v9-0.04v7+0.039v10+0.031v14+0.022v19+0.02 v4-0.006v21' numeric
@attribute '-0.621v24-0.553v26+0.456v15-0.163amount+0.128v13+0.119v19+0.094v23-0.073v25+0.07 v18-0.066v21+0.064v2+0.057v20-0.056v6+0.048v17-0.048v3+0.033v22-0.025v14+0.024v5-0.024v7+0.023v9-0.019v8-0.016v28+0.015v12+0.015attribute_0+0.014time-0.013v1-0.01v10-0.009v27+0.008v16+0.008v4-0.007v11' numeric
@attribute -0.472v25+0.364v28+0.333v13-0.291v23+0.288v26+0.256v15+0.253v2-0.177v22+0.158v20-0.152v19-0.15v7+0.143v17+0.133v16+0.126v18-0.124v1-0.113v3-0.107v8-0.099amount+0.082v24+0.074v4+0.069v14+0.069v12+0.054v10-0.043v11-0.04v6-0.038v27-0.031v9+0.016attribute_0-0.015v21+0.014time-0.009v5 numeric
@attribute '-0.35v23+0.346v27+0.315v19-0.296v24-0.274amount+0.273v6-0.272v15+0.241v14-0.227v4-0.207v13-0.176v18-0.176v7-0.133v1-0.124v11+0.123v12+0.108v26+0.106v9-0.104v17+0.1  v28-0.1v5+0.097v22+0.096v2-0.059v16+0.059v10-0.039v25-0.039v21+0.029v20+0.022v8+0.02 v3-0.007attribute_0+0.005time' numeric
@attribute '-0.653v27+0.409v28+0.277v25-0.272v24-0.27v23-0.229v20+0.168amount-0.128v18+0.124v26+0.116v22-0.094v4-0.091v16-0.09v17+0.082v3+0.075v6-0.07v11-0.062v12+0.05 v7+0.048v13-0.035v10+0.032v1-0.031v5+0.027v21-0.021v2-0.014v14+0.012v15-0.011time+0.009v9-0.006v8-0.006v19-0.003attribute_0' numeric
@attribute '-0.4v6-0.396v25+0.39 v23+0.312v8-0.279v15+0.224v9-0.219v27-0.216v24-0.179v13+0.175v19-0.156v5+0.138v26+0.125v28-0.117attribute_0-0.109time-0.103v1+0.087v18+0.081v10+0.08 v14-0.074v4+0.07 v21+0.065v7-0.06v22+0.06 v17-0.059v3+0.052amount-0.043v2+0.033v12-0.024v11+0.023v16+0.006v20' numeric
@attribute '-0.453v19-0.406v20+0.376v8+0.328v6+0.267v22+0.214v23+0.211v27-0.206v25+0.192v28-0.191v5-0.147v18-0.13v9+0.097v2-0.092v21+0.09 v7+0.088v4+0.076v15-0.069v17-0.061v3+0.06 v10-0.059v26+0.058amount+0.047v14-0.044v11-0.028v13-0.028v24+0.021time-0.015v1-0.015v12+0.01 attribute_0+0.007v16' numeric
@attribute '0.457v19+0.441v18+0.348v4+0.3  v6+0.278v17-0.231v20+0.212v2+0.173v11+0.171v16-0.141v14-0.135v3-0.132v15-0.111v21+0.106v24-0.101v26+0.098v8+0.092v28+0.091v22+0.083amount-0.082v23+0.069v7+0.063v25+0.062v9-0.046time+0.042v10-0.038v27-0.032attribute_0-0.031v13-0.031v1-0.024v12-0.017v5' numeric
@attribute class numeric

@data
0.415479,-1.011734,1.024819,-1.317066,-0.545154,-0.784296,-0.714101,0.08994,-1.148794,0.392899,-0.445686,0.08456,-0.400234,-0.572852,0.013991,-0.307565,0.476923,1
-1.780074,-0.398903,1.500792,-1.890906,-0.432411,-2.164896,1.164244,-0.993709,0.955577,0.280064,1.354143,0.060044,-1.88724,-0.110206,0.584554,-0.839396,-0.275668,1
-0.242439,-0.656922,0.384656,-1.951711,-0.007168,-0.393413,0.675067,1.066843,-1.21533,-1.206868,-0.034225,-0.734041,-0.51463,-0.021776,0.196998,0.773079,-0.521443,1
2.444291,-1.490852,0.370913,-0.844166,0.409049,-0.587086,-0.280091,-0.931735,-1.647355,-2.133203,0.525171,-0.566352,-0.232398,1.997151,0.11309,0.170201,-0.715334,1
-1.381509,-1.877668,0.077821,-1.643188,-4.586811,0.029556,-0.315786,2.130242,0.554122,-0.133592,0.96149,0.725957,-1.163702,1.257068,-0.439918,-0.271681,0.563676,1
1.817274,-2.387754,-0.126868,-0.83251,-3.627411,0.071399,-0.452054,-0.284149,-1.075571,-0.484985,-1.283117,0.103037,-1.619736,0.288126,-0.670375,-0.372705,0.366952,1
1.846888,-2.459125,-0.225835,-0.704305,-4.229275,-0.098941,-0.291562,0.757479,-0.066381,-1.145859,-0.517749,0.005645,-0.893316,0.765858,-0.519288,-0.628269,0.756901,1
0.821193,-2.258789,-0.434321,-1.009424,-4.125022,-0.291751,-0.25688,0.376503,-1.082417,0.270631,-0.312627,0.036963,-1.16363,0.703624,-0.421673,-0.076893,0.290359,1
1.043058,-2.08579,-0.072766,-0.999743,-3.962414,0.182549,-0.40424,0.577334,-0.542528,-0.96275,-1.08588,0.100183,-1.365705,0.395315,-0.470154,-0.54008,0.891011,1
1.6451,-1.210946,0.969959,0.038283,0.608069,-2.35178,-1.129016,0.947327,0.096847,-1.373832,0.929462,1.621004,-0.209774,-1.058403,1.70774,-0.305864,0.553253,1
1.630983,-1.210057,1.005689,-0.058292,1.063584,-2.174113,-1.254682,-0.072858,-0.965378,-0.655634,0.256033,1.787779,-1.037158,-1.549428,1.56763,-0.076591,0.218031,1
0.634795,-1.080806,0.697946,-0.234552,0.566077,-2.536928,-1.059441,0.587736,-0.972012,0.100116,1.226541,1.721724,-0.581049,-1.133942,1.816189,0.219246,0.141382,1
1.524367,-1.617723,0.621167,-0.942632,-1.187876,-0.588053,-0.663888,0.917089,0.194088,-1.163134,0.090377,0.446628,-0.331736,0.159351,0.534548,-0.551472,0.137452,1
1.494303,-1.684677,0.69108,-1.033445,-0.723006,-0.44609,-0.73614,-0.342317,-0.744894,-0.574712,-0.689997,0.635865,-0.922479,-0.408127,0.353455,-0.259133,-0.26994,1
1.326659,-1.199372,0.30033,-0.07446,-2.007843,-1.365012,-0.819499,1.217846,-0.844922,-1.130365,-0.071332,1.478847,-1.352548,-1.16765,1.206348,-0.116369,1.345367,1
2.414613,-2.119441,-0.524865,-0.510217,-4.099291,0.116495,-0.027681,0.415801,-1.414681,-1.510502,-1.299516,-0.179122,-0.885202,0.312736,-0.231602,-0.152397,0.420837,1
2.491817,-2.504486,-0.411473,-0.519436,-3.982174,-0.155699,-0.288706,0.004683,-0.870432,-0.896242,-1.166255,-0.259743,-1.002609,0.450071,-0.484959,-0.525497,0.686137,1
2.314941,-1.275414,0.743406,0.216223,0.760365,-2.363784,-1.125393,0.263795,-0.701043,-1.132684,0.403712,1.461886,-0.492968,-1.30787,1.767752,-0.256834,0.544416,1
2.290002,-1.256234,0.78425,0.223318,0.855198,-2.408449,-1.12614,0.194515,-0.707147,-1.124175,0.280961,1.35562,-0.31906,-1.374198,1.742035,-0.203081,0.482468,1
2.178551,-1.752256,0.430991,-0.761635,-1.025394,-0.6369,-0.607486,-0.003297,-0.482751,-1.051547,-0.543014,0.309988,-0.377019,-0.166639,0.552728,-0.438222,0.057859,1
2.169363,-1.663261,0.435712,-0.758171,-0.94084,-0.645018,-0.661072,0.164328,-0.610093,-0.913596,-0.558141,0.181227,-0.441028,-0.156432,0.568968,-0.448711,0.066717,1
2.742013,-1.21365,-0.104849,-0.562458,0.403431,-1.01916,-0.60472,-0.707127,-1.251053,-2.34562,0.394617,-0.498667,0.206187,1.800435,1.072165,-0.188217,0.447306,1
2.71759,-1.766147,-0.27795,-0.755359,-3.527898,0.245083,-0.355945,0.744807,-0.932788,-0.911807,-1.03404,-0.063736,-1.142062,0.310764,0.132731,-0.312863,0.736255,1
2.708793,-1.816849,-0.300859,-0.719066,-3.581829,0.20609,-0.321548,0.693785,-0.990614,-0.847706,-1.063929,-0.100839,-1.071192,0.23139,0.120833,-0.287501,0.727352,1
0.33329,-1.685757,2.578001,-0.593244,2.738309,-3.426682,4.908394,3.596924,1.115871,0.780263,-1.803969,-1.141126,-0.896371,0.349294,-1.531093,1.854094,2.819608,1
7.156054,-3.960202,-1.205118,0.969405,-4.353146,-1.546358,-0.003966,-0.672327,-0.444336,-1.510457,-0.351811,-0.736637,0.164561,1.167319,-1.10269,0.069495,-0.469939,1
0.964064,-2.273695,0.201035,-1.042001,-3.86346,0.259854,-0.505911,0.715596,0.118638,-0.989225,-0.536566,0.555318,-1.612855,0.647231,-0.815064,-0.504334,0.4503,1
6.95436,-2.712273,-0.009069,1.711422,0.484107,-3.799488,-0.841475,-0.48243,-0.281292,-1.738542,1.095383,0.878704,0.848105,-0.656935,1.124467,0.391883,-0.673545,1
7.303962,-3.411509,-1.116127,0.878872,-4.048696,-1.339203,0.010738,-0.083202,-0.597519,-1.525373,-0.268381,-0.601826,0.156696,0.835467,-0.609642,0.273761,-0.485826,1
1.247791,-1.387612,0.574469,-0.117482,-1.909012,-1.288102,-0.92125,1.356178,-0.184007,-1.157,0.477961,1.933961,-1.599706,-0.915717,0.861603,-0.080656,0.904725,1
2.998532,-1.35285,0.083509,-0.813858,0.051251,-1.041753,-1.162556,-0.429148,-0.655429,-0.881348,0.465992,-0.118777,-0.852453,2.042347,0.439727,-0.121837,-0.041481,1
3.092123,-1.090602,0.146564,-0.459263,0.776604,-1.582127,-1.129239,-0.405687,-0.79899,-1.160424,0.82165,0.599829,-0.756764,1.551812,1.160844,0.33734,0.191485,1
0.135409,0.799454,0.319368,-2.318164,1.449669,-0.211614,-0.436995,2.052186,-1.258788,-1.233204,-0.543468,-0.4601,-1.825161,1.120525,0.743987,-0.453975,0.395722,1
7.567145,-2.896232,-0.796077,1.655464,-2.35555,-2.738798,-0.448735,0.083457,-0.561886,-1.518602,0.682902,0.650503,0.094307,-0.288267,0.728182,0.531699,0.040529,1
7.145725,-2.377994,0.050572,1.354774,0.620595,-3.259318,-0.924854,-0.224308,-0.043308,-1.47851,1.134032,0.867719,0.671186,-0.446313,1.375767,0.442313,-0.575112,1
