@RELATION csv_result-credit_edit

@ATTRIBUTE id REAL
@ATTRIBUTE source_0 REAL
@ATTRIBUTE source_1 REAL
@ATTRIBUTE source_2 REAL
@ATTRIBUTE source_3 REAL
@ATTRIBUTE source_4 REAL
@ATTRIBUTE source_5 REAL
@ATTRIBUTE source_6 REAL
@ATTRIBUTE source_7 REAL
@ATTRIBUTE source_8 REAL
@ATTRIBUTE source_9 REAL
@ATTRIBUTE source_10 REAL
@ATTRIBUTE source_11 REAL
@ATTRIBUTE source_12 REAL
@ATTRIBUTE source_13 REAL
@ATTRIBUTE source_14 REAL
@ATTRIBUTE source_15 REAL
@ATTRIBUTE source_16 REAL
@ATTRIBUTE source_17 REAL
@ATTRIBUTE source_18 REAL
@ATTRIBUTE source_19 REAL
@ATTRIBUTE source_20 REAL
@ATTRIBUTE source_21 REAL
@ATTRIBUTE source_22 REAL
@ATTRIBUTE source_23 REAL
@ATTRIBUTE source_24 REAL
@ATTRIBUTE source_25 REAL
@ATTRIBUTE source_26 REAL
@ATTRIBUTE source_27 REAL
@ATTRIBUTE source_28 REAL
@ATTRIBUTE source_29 REAL
@ATTRIBUTE source_30 REAL
@ATTRIBUTE class {0,1}

@DATA
1,-0.015717,0.005506,-0.011176,0.05688,-0.015734,0.018636,0.003483,0.022936,0.047614,-0.010091,0.008031,0.006627,-0.011024,0.005415,-0.023575,0.022645,-0.021101,-0.004857,0.017035,-0.057322,0.025051,0.009609,0.000114,-0.021379,-0.033242,0.040947,0.02121,-0.011082,0.00139,-0.007605,-0.038815,1
2,-0.022274,-0.014836,-0.008995,0.006464,0.035776,-0.016963,-0.014125,-0.026603,0.091838,0.031974,-0.014203,-0.016719,-0.043365,-0.034287,-0.041565,0.05031,-0.002908,-0.058187,0.071124,0.010923,0.059567,0.032973,-0.003129,-0.05957,-0.0298,0.063561,0.019149,-0.06693,-0.003982,0.009157,-0.006402,1
3,0.019628,-0.010492,0.049453,0.064272,0.021705,0.011466,0.040548,-0.002523,0.025291,0.028142,-0.025989,-0.019815,0.002652,0.010659,0.029452,-0.023411,0.034076,0.013287,-0.016038,0.055305,0.026907,0.018176,0.015007,0.001255,-0.075363,0.017786,0.022049,0.045762,0.05659,-0.011275,0.001142,1
4,0.040799,0.047848,0.066753,0.039626,0.012274,-0.02896,0.004041,-0.003343,-0.02236,0.085072,-0.019479,-0.045354,-0.016544,-0.008861,0.029539,0.005356,0.031465,-0.025764,-0.029935,0.056228,-0.036968,0.004597,0.051919,0.003618,-0.057292,0.034457,0.001477,-0.012041,0.048768,-0.046875,-0.023358,1
5,0.014671,-0.031781,0.002959,0.024324,0.006211,-0.00046,-0.019889,-0.050271,0.053725,0.033263,-0.021137,0.020695,-0.089439,-0.04903,0.0278,-0.029873,-0.009371,-0.029351,-0.015967,-0.036793,0.015737,-0.031875,0.011651,-0.032894,0.024331,0.050761,0.007589,0.055272,0.055159,-0.011589,0.052254,1
6,0.031021,-0.020067,0.017064,0.036696,-0.012711,0.004407,0.006742,-0.020945,0.02037,0.026726,-0.000293,0.003303,-0.023329,-0.059022,-0.020312,-0.038801,0.00635,-0.003983,-0.012553,-0.050026,-0.046816,0.014324,-0.004289,-0.002388,-0.011107,0.075828,0.016279,0.04499,0.045574,-0.002827,0.030296,1
7,0.007781,-0.009205,-0.010557,0.042557,-0.022577,0.018403,-0.013705,-0.037494,0.034206,0.0264,0.007367,-0.002883,-0.028144,-0.055223,0.008824,-0.026229,-0.003415,-0.012834,-0.011521,-0.055357,-0.036235,-0.038604,0.031986,-0.007149,-0.015608,0.059266,-0.000825,0.032311,0.038691,-0.020078,0.028496,1
8,0.017762,-0.02715,0.02174,0.024355,-0.008623,-0.003837,0.001262,-0.016679,0.028124,0.044015,-0.01211,0.017335,-0.041808,-0.047831,0.002983,-0.030055,0.008555,-0.004718,-0.028314,-0.045837,-0.019893,-0.002109,-0.022042,-0.013457,-0.007482,0.069043,0.011376,0.043225,0.066349,-0.00222,0.046064,1
9,0.020486,-0.01617,-0.012243,0.050212,-0.043604,0.01298,-0.002124,-0.026682,0.035009,0.025133,0.0083,-0.004181,-0.022507,-0.049272,-0.011204,-0.042582,-0.008757,-0.001566,-0.009312,-0.058754,-0.042009,-0.021621,0.029166,-0.009075,-0.016635,0.058947,0.007141,0.031269,0.03037,-0.009747,0.026961,1
10,0.014318,0.00633,0.001063,0.014711,-0.003854,0.030263,-0.055591,0.001983,0.028151,0.031786,0.046896,0.023731,-0.058017,-0.038481,0.010906,-0.008621,-0.039052,-0.011133,0.030754,-0.004541,0.015794,-0.015024,-0.006787,0.016071,-0.074167,-0.045956,-0.023227,0.013778,-0.006686,0.050664,-0.060013,1
