@RELATION csv_result-credit_edit10

@ATTRIBUTE id REAL
@ATTRIBUTE source_0 REAL
@ATTRIBUTE source_1 REAL
@ATTRIBUTE source_2 REAL
@ATTRIBUTE source_3 REAL
@ATTRIBUTE source_4 REAL
@ATTRIBUTE source_5 REAL
@ATTRIBUTE source_6 REAL
@ATTRIBUTE source_7 REAL
@ATTRIBUTE source_8 REAL
@ATTRIBUTE source_9 REAL
@ATTRIBUTE class {0,1}

@DATA
1,-0.043793,0.018272,-0.006968,-0.006958,-0.011086,0.035161,0.009793,0.011687,0.023329,-0.009343,1
2,-0.011057,0.030717,-0.070905,-0.019438,-0.0011,0.010841,0.030957,-0.020333,0.017676,-0.074231,1
3,0.02905,0.005921,-0.03125,-0.012496,0.007604,-0.001053,-0.006509,0.006585,0.022473,-0.030781,1
4,0.02157,0.015573,-0.020856,0.008199,0.047274,-0.008,0.008816,0.019341,0.050619,-0.027095,1
5,0.033429,-0.006976,0.044093,-0.03511,-0.007748,-0.013038,-0.024335,0.046907,-0.03107,0.016074,1
6,-0.001977,0.024342,0.007071,-0.051066,0.02208,-0.026168,-0.009049,0.065745,0.017781,0.026144,1
7,0.003216,-0.020744,0.031114,-0.041835,0.010935,0.001146,-0.010372,0.059722,0.004916,0.022427,1
8,0.009362,0.027222,0.011236,-0.044518,0.003042,-0.014335,-0.00985,0.051615,-0.008106,0.03336,1
9,-0.008017,-0.00951,0.027092,-0.049312,0.026071,0.001569,-0.018588,0.058724,0.011458,0.025609,1
10,0.013276,0.022773,0.019137,-0.003497,0.010255,0.021943,-0.009,0.013168,0.005903,-0.047336,1
11,0.009455,0.069438,0.000199,-0.013133,0.023129,-0.009263,-0.004499,0.019843,0.014533,-0.045137,1
12,0.020843,0.072298,0.004396,-0.006631,0.00411,0.002518,-0.005315,0.005689,-0.011464,-0.037848,1
13,0.00676,-0.023811,0.013298,-0.038979,0.033235,-0.001388,0.028356,0.050724,-0.011782,-0.020124,1
14,0.000542,0.02497,-0.011299,-0.049878,0.044166,-0.032199,0.031617,0.05612,0.006851,-0.01598,1
15,0.006441,0.029993,0.034209,-0.001459,0.003974,0.031853,-0.039478,0.014818,0.015944,-0.010917,1
16,-0.010234,0.002969,0.012116,-0.03501,0.026691,-0.002915,0.004901,0.054315,0.009527,0.023625,1
17,-0.008732,-0.003768,0.017009,-0.048192,0.018519,0.000011,-0.006642,0.060634,0.012836,0.031639,1
18,0.005055,0.037905,0.01224,-0.008715,0.021087,0.018867,-0.001824,0.014457,0.011442,-0.041984,1
19,0.001403,0.039722,0.005088,-0.009925,0.01787,0.020739,-0.005295,0.014035,0.013653,-0.038015,1
20,-0.004106,-0.00648,0.000584,-0.04517,0.04202,-0.003831,0.034393,0.050897,0.004305,-0.013198,1
21,-0.005174,-0.006838,-0.000792,-0.04535,0.040826,-0.00253,0.03208,0.051623,-0.003895,-0.010893,1
22,-0.026137,0.003887,0.027787,0.019745,0.036317,0.001746,0.013495,0.01961,0.042981,-0.03664,1
23,0.001107,-0.026146,0.014765,-0.031915,0.021098,0.015009,0.010558,0.051872,0.00449,0.022512,1
24,-0.001338,-0.022656,0.012608,-0.033474,0.019557,0.013182,0.01028,0.052118,0.002852,0.024729,1
25,0.073415,-0.112225,-0.136604,0.046323,0.025558,-0.028348,0.049184,-0.007315,-0.081873,-0.019298,1
26,0.019264,-0.016905,0.013198,-0.040691,0.023126,0.010814,0.011292,0.060238,0.044739,0.052185,1
27,0.017888,-0.002526,0.030414,-0.048029,0.021002,-0.029716,-0.018325,0.064197,0.004861,0.019024,1
28,0.029332,0.026611,0.001233,-0.002362,0.022451,0.03161,0.012661,0.013673,0.045705,-0.017567,1
29,0.025528,-0.025443,0.00917,-0.027629,0.022158,0.021968,0.024676,0.053391,0.036461,0.043941,1
30,0.03225,0.037015,0.037466,-0.000086,-0.001134,0.000662,-0.039185,0.020342,0.009564,-0.017643,1
31,0.025234,-0.001498,-0.001491,-0.001902,0.016223,0.009195,0.006254,0.030609,0.029717,-0.003771,1
32,0.028827,0.009586,-0.000951,0.020491,0.014817,0.010548,-0.002169,0.004791,0.038541,-0.017364,1
33,0.032983,-0.002046,-0.006101,0.031503,0.015556,0.064422,0.003103,0.035415,-0.017553,-0.080042,1
34,0.03802,0.001552,0.019795,0.007043,0.003974,0.043934,-0.002313,0.014199,0.046937,0.016893,1
35,0.036662,-0.006486,0.001162,-0.002241,0.027462,0.036327,0.022625,0.010044,0.038193,-0.01432,1
36,0.032201,-0.055902,0.008411,-0.029206,0.02643,0.024672,0.036189,0.050007,0.034636,0.046022,1
37,0.044548,-0.02884,0.018956,0.005588,0.008196,0.046808,0.00924,0.010864,0.045436,0.018755,1
38,0.046156,-0.037955,0.018217,0.004871,0.009217,0.047442,0.013721,0.010018,0.047613,0.018475,1
39,0.075651,0.029314,0.012024,0.016113,0.012108,0.098102,-0.011456,0.03936,0.00001,-0.034632,1
40,-0.016641,-0.013861,0.027,-0.057734,0.035377,-0.029009,-0.046949,0.022071,0.009021,0.006084,1
41,-0.009473,-0.026838,0.03264,-0.048543,0.005327,-0.03711,-0.036292,0.025614,-0.01625,-0.006354,1
42,-0.010185,0.028709,-0.042012,-0.03905,0.04483,-0.027344,-0.031011,0.024683,-0.013044,0.007753,1
43,0.051166,-0.048441,0.019682,0.000991,0.011574,0.044609,0.017129,0.007484,0.042152,0.023203,1
44,0.078225,-0.104252,-0.06948,0.032576,0.042991,0.026046,0.03329,-0.021687,-0.026254,0.006662,1
45,-0.024914,-0.131499,-0.017869,0.090477,0.037728,-0.119471,0.059978,-0.058516,-0.151444,0.168562,1
46,-0.013451,0.047246,0.019943,0.012379,0.013538,0.030894,-0.045336,0.063341,-0.037856,0.050913,1
47,0.01765,0.040607,-0.04407,0.048357,0.03155,0.065446,-0.078018,0.029856,-0.057206,-0.040381,1
48,0.00249,0.050459,0.004696,0.005415,0.020318,0.054718,-0.052425,0.076275,-0.031066,0.029139,1
49,0.018605,0.061354,0.007467,0.037026,0.017743,0.069756,-0.080911,0.040558,-0.029267,-0.014701,1
50,0.020334,0.052022,0.006799,0.036708,0.018749,0.070095,-0.076273,0.04003,-0.027449,-0.014834,1
51,0.022307,0.042622,0.006317,0.036101,0.019867,0.070243,-0.071736,0.039308,-0.026177,-0.014619,1
52,0.024078,0.033319,0.005706,0.035637,0.020912,0.070613,-0.067153,0.038653,-0.024442,-0.0147,1
53,0.026183,0.02389,0.005305,0.034825,0.02209,0.070645,-0.06269,0.03781,-0.02345,-0.014281,1
54,0.027928,0.014619,0.004672,0.034314,0.023131,0.071059,-0.058125,0.03712,-0.021642,-0.014393,1
55,0.029906,0.005261,0.004185,0.033557,0.024266,0.071236,-0.053645,0.036299,-0.020352,-0.014156,1
56,0.031744,-0.004033,0.003607,0.032904,0.025349,0.071562,-0.049131,0.035529,-0.018744,-0.014122,1
57,0.012097,0.014286,0.00871,-0.066323,0.018813,-0.051546,-0.027817,0.029155,-0.045573,0.020279,1
58,0.001909,0.001721,0.011151,-0.005081,0.088853,-0.024713,-0.001845,0.007821,0.019208,0.030988,1
59,-0.010602,0.01902,0.020964,0.025308,0.056519,-0.006242,0.012581,-0.035549,0.031908,0.026312,1
60,-0.012787,0.020471,0.022172,0.027027,0.059008,-0.006939,0.01028,-0.036702,0.032029,0.028267,1
61,0.001884,0.001815,0.033592,-0.034365,-0.01238,0.003839,-0.017715,-0.026429,-0.035387,0.024592,1
62,-0.010641,0.012749,0.021402,0.0263,0.06293,-0.005822,0.012114,-0.037432,0.033502,0.02868,1
