@relation kmeans

@attribute 'distance to cluster 1' numeric
@attribute 'distance to cluster 2' numeric
@attribute diagnosis {TRUE,FALSE}

@data
2.162426,1.160666,TRUE
1.464756,0.641269,TRUE
1.678093,0.441211,TRUE
2.355679,1.750171,TRUE
1.534064,0.626036,TRUE
1.436511,0.806381,TRUE
1.379808,0.398723,TRUE
1.287307,0.62988,TRUE
1.526649,0.746904,TRUE
2.180458,1.510944,TRUE
1.17328,0.827514,TRUE
1.327276,0.391072,TRUE
2.006258,1.192901,TRUE
1.171479,0.702611,TRUE
1.690624,0.907587,TRUE
1.588076,0.740387,TRUE
1.168432,0.596108,TRUE
1.554183,0.487658,TRUE
1.711157,0.621367,TRUE
0.399988,1.300172,FALSE
0.374384,1.366455,FALSE
0.456949,1.644161,FALSE
1.672126,0.825083,TRUE
1.713354,0.732282,TRUE
1.616259,0.481813,TRUE
1.881018,0.909657,TRUE
1.598093,0.707089,TRUE
1.367758,0.470789,TRUE
1.549528,0.491379,TRUE
1.251321,0.51165,TRUE
1.68589,0.442417,TRUE
1.480997,0.869617,TRUE
1.554068,0.404775,TRUE
1.638677,0.504502,TRUE
1.431398,0.489445,TRUE
1.39392,0.452412,TRUE
1.210054,0.50611,TRUE
0.504624,1.60103,FALSE
1.291573,1.236171,TRUE
1.278485,0.64235,TRUE
1.094148,0.941224,TRUE
1.261061,0.891075,TRUE
2.083561,1.079031,TRUE
1.198435,0.558882,TRUE
1.186198,0.695847,TRUE
1.663428,0.512549,TRUE
0.480817,1.729752,FALSE
1.351447,0.666514,TRUE
0.331748,1.410731,FALSE
0.419221,1.309449,FALSE
0.378732,1.578043,FALSE
0.383738,1.483862,FALSE
0.293312,1.536111,FALSE
1.385566,0.452257,TRUE
1.156711,0.718781,TRUE
0.321994,1.506023,FALSE
1.574971,0.412086,TRUE
1.299246,0.439062,TRUE
0.482366,1.628609,FALSE
0.660311,1.756214,FALSE
0.769944,1.722569,FALSE
0.653531,1.66576,FALSE
1.560964,0.664064,TRUE
0.690907,1.678036,FALSE
1.301133,0.603803,TRUE
1.290502,0.470962,TRUE
0.502161,1.573043,FALSE
0.318499,1.536037,FALSE
1.694303,1.87665,FALSE
0.328166,1.510648,FALSE
1.458403,0.584594,TRUE
1.203785,1.888372,FALSE
1.66753,0.586399,TRUE
1.126521,0.716406,TRUE
0.197,1.421734,FALSE
1.239464,0.559595,TRUE
0.722561,1.485824,FALSE
1.671315,0.628715,TRUE
2.55719,1.617606,TRUE
0.168923,1.365059,FALSE
0.476993,1.444126,FALSE
0.746401,1.192413,FALSE
2.43352,1.287443,TRUE
1.6898,0.764797,TRUE
0.284241,1.410907,FALSE
1.399697,0.37017,TRUE
1.157487,0.656245,TRUE
1.510635,0.418586,TRUE
0.352561,1.285361,FALSE
0.644453,1.188022,FALSE
0.395099,1.350317,FALSE
1.154264,0.599524,TRUE
0.517785,1.490756,FALSE
0.262559,1.359902,FALSE
1.359978,0.385451,TRUE
1.526411,0.425906,TRUE
0.305931,1.497087,FALSE
0.543287,1.699523,FALSE
0.356327,1.482352,FALSE
1.152132,0.548305,TRUE
1.137195,0.732542,TRUE
0.808125,1.892849,FALSE
0.429118,1.52211,FALSE
0.376858,1.436851,FALSE
0.374467,1.557701,FALSE
1.553907,0.862563,TRUE
0.481604,1.321637,FALSE
0.316011,1.460093,FALSE
2.59717,1.491917,TRUE
0.438357,1.436509,FALSE
0.461865,1.574316,FALSE
0.535875,1.313741,FALSE
1.263195,1.431915,FALSE
0.54641,1.509646,FALSE
0.63397,1.596666,FALSE
0.283102,1.405496,FALSE
0.815811,1.736762,FALSE
1.440534,0.515321,TRUE
1.609074,0.577436,TRUE
1.394183,0.912372,TRUE
0.46096,1.51575,FALSE
1.382822,0.349688,TRUE
2.657551,1.70672,TRUE
0.526715,1.302767,FALSE
0.433142,1.4206,FALSE
0.360162,1.489676,FALSE
1.171266,0.762298,TRUE
1.347668,0.658302,TRUE
0.728559,1.197024,FALSE
1.617515,0.445856,TRUE
0.384586,1.432467,FALSE
1.24043,0.423961,TRUE
1.229202,0.45652,TRUE
0.523678,1.247116,FALSE
1.341331,0.43694,TRUE
1.069125,0.935391,TRUE
0.472076,1.528774,FALSE
0.247986,1.487221,FALSE
1.449736,0.768801,TRUE
0.499162,1.497536,FALSE
0.627267,1.81315,FALSE
1.168526,0.480252,TRUE
0.304101,1.47217,FALSE
0.296468,1.344954,FALSE
0.421529,1.65934,FALSE
0.645675,1.509406,FALSE
1.571319,1.076637,TRUE
0.565269,1.292735,FALSE
0.502206,1.215799,FALSE
0.430124,1.496545,FALSE
0.529902,1.447232,FALSE
1.053147,1.666223,FALSE
2.202096,2.303049,FALSE
0.394756,1.604069,FALSE
0.399699,1.309622,FALSE
0.206672,1.409504,FALSE
1.423697,0.361884,TRUE
0.666617,1.358167,FALSE
0.351965,1.551733,FALSE
0.496257,1.701139,FALSE
0.394621,1.348071,FALSE
1.507753,0.7569,TRUE
1.783858,0.583324,TRUE
0.380538,1.372483,FALSE
1.802057,0.734379,TRUE
0.481142,1.483089,FALSE
0.58986,1.709288,FALSE
1.211275,0.526352,TRUE
1.571501,0.473936,TRUE
0.372114,1.360825,FALSE
0.399236,1.466968,FALSE
1.093405,0.779845,TRUE
1.448493,0.641859,TRUE
0.521836,1.658951,FALSE
0.577352,1.762227,FALSE
0.613279,1.84286,FALSE
1.069544,1.648306,FALSE
1.387812,0.345386,TRUE
0.731254,1.761934,FALSE
0.489222,1.646702,FALSE
2.428567,1.330175,TRUE
2.185236,1.039942,TRUE
1.218541,0.538524,TRUE
0.45898,1.557799,FALSE
1.148986,0.69647,TRUE
0.5318,1.698864,FALSE
1.305643,0.6589,TRUE
0.283677,1.448766,FALSE
0.389255,1.550875,FALSE
0.333465,1.531538,FALSE
2.079668,1.437103,TRUE
0.489381,1.509734,FALSE
1.116754,2.073528,FALSE
1.352725,0.778756,TRUE
1.346424,0.491279,TRUE
0.291263,1.448919,FALSE
